          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1995e+00	  1.2969e-02	  5.2913e-04	  1.8039e-03	  2.1483e-03	  7.8523e-05	  1.3675e-02	  7.5246e-04	  3.6956e-04	  9.1063e-04	  4.2549e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1997e+00	  1.2974e-02	  5.2930e-04	  1.8053e-03	  2.1499e-03	  7.8508e-05	  1.3681e-02	  7.5415e-04	  3.6968e-04	  9.1484e-04	  4.2571e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1998e+00	  1.2978e-02	  5.2946e-04	  1.8066e-03	  2.1514e-03	  7.8494e-05	  1.3686e-02	  7.5578e-04	  3.6979e-04	  9.1892e-04	  4.2593e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1999e+00	  1.2983e-02	  5.2962e-04	  1.8079e-03	  2.1530e-03	  7.8480e-05	  1.3691e-02	  7.5735e-04	  3.6990e-04	  9.2285e-04	  4.2615e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2000e+00	  1.2987e-02	  5.2977e-04	  1.8091e-03	  2.1544e-03	  7.8467e-05	  1.3696e-02	  7.5887e-04	  3.7000e-04	  9.2664e-04	  4.2635e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2001e+00	  1.2991e-02	  5.2992e-04	  1.8103e-03	  2.1558e-03	  7.8455e-05	  1.3701e-02	  7.6033e-04	  3.7010e-04	  9.3031e-04	  4.2655e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2002e+00	  1.2995e-02	  5.3006e-04	  1.8114e-03	  2.1572e-03	  7.8442e-05	  1.3706e-02	  7.6175e-04	  3.7020e-04	  9.3384e-04	  4.2674e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2003e+00	  1.2999e-02	  5.3020e-04	  1.8125e-03	  2.1585e-03	  7.8431e-05	  1.3710e-02	  7.6311e-04	  3.7029e-04	  9.3726e-04	  4.2693e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2003e+00	  1.3002e-02	  5.3033e-04	  1.8136e-03	  2.1598e-03	  7.8419e-05	  1.3714e-02	  7.6443e-04	  3.7038e-04	  9.4055e-04	  4.2711e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.2004e+00	  1.3006e-02	  5.3046e-04	  1.8146e-03	  2.1610e-03	  7.8408e-05	  1.3718e-02	  7.6570e-04	  3.7047e-04	  9.4374e-04	  4.2728e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
