"","pH","Na","K","Ca","Mg","PO4","Cl","SO4","NH4","HCO3","sc","exchanger"
"92",0.000423734804854137,0.0070051740188859,0.00702321610884837,0.0149717371525107,0.0148303971181303,-0.0305906641182929,0.0239949190547235,0.0320744318556523,0.00679533590769132,0.0342661746702735,0.0179829893137775,"no_Hfo"
"102",0.000364676844256895,0.00721584360923444,0.00725151561326687,0.0153401693916306,0.0152297247438469,-0.0331969493121935,0.0236154612259929,0.0308685926450973,0.00697157922499692,0.0328585486462556,0.0179213624199477,"no_Hfo"
"112",0.0003344341822904,0.00736192614441755,0.00739982488795388,0.0155522517542064,0.0154061342017435,-0.0358032989603778,0.0231031853109229,0.0297232181464837,0.00708398161089896,0.0315564127359718,0.0177487862758507,"no_Hfo"
"122",0.00029083657267126,0.00746395901722874,0.00747872523530013,0.015712375833612,0.0155191360759295,-0.0385679183524577,0.022638155170402,0.0286407289719612,0.00715190630694895,0.030358647969603,0.0175281687047679,"no_Hfo"
"132",0.000261605294179956,0.00752591827575078,0.00754126757307017,0.0156488589737069,0.0155283314190617,-0.0413287298885585,0.0221143380631754,0.0276804248102538,0.00717587386647711,0.0293368341059654,0.0172574418703029,"no_Hfo"
"142",0.00024646055386679,0.00756421501664306,0.00757487520069855,0.0156038912341918,0.0155263147097253,-0.0441664366434722,0.0216503511283213,0.0267100778422931,0.00717356991020868,0.0282783468226731,0.0169708945959144,"no_Hfo"
"152",0.000217906464512696,0.00758060339857103,0.00758266222765336,0.0155914408917655,0.0154688971005079,-0.0470832191857564,0.0211517293688734,0.0258914139327411,0.00716173434217549,0.0273273509782568,0.0166820106770658,"no_Hfo"
"162",0.000216784544111004,0.00756436032056307,0.00756710940018035,0.01542586179034,0.0153165049582764,-0.0499831154751949,0.0206514403458065,0.0251087850142877,0.00710585225402038,0.0265303842797602,0.0163519403714005,"no_Hfo"
"33",0.0147241557466717,0.285759289068294,0.290372605370052,0.650279878776636,0.643676830582202,-0.184457380095298,0.942873064560515,1.34823646797767,0.295415652327176,1.84577273397775,0.707674137205246,"no_OM"
"43",0.00216213098475926,0.343564516152983,0.349850256343469,0.779338086352607,0.770431017788317,-0.329992695865469,1.01428830010429,1.29087422777083,0.354708270436952,1.62114151503502,0.797330773292818,"no_OM"
"53",-0.00490297802605077,0.357053523205671,0.363970834344324,0.806143385104981,0.796314416386513,-0.441712797861575,0.990340923938879,1.19711908885081,0.367510640281735,1.44937196476725,0.796468682393673,"no_OM"
"63",-0.00890692969099383,0.355819662524183,0.36294090032998,0.799252515230997,0.789002284299071,-0.530472998372264,0.945740679886008,1.10999983286857,0.36476269808428,1.31509902863624,0.7712266072781,"no_OM"
"73",-0.0109115609569366,0.348851013439133,0.355929132059826,0.779301321856432,0.769003148439575,-0.602886941417083,0.897720200002738,1.03384316681465,0.355963579868186,1.20668452579691,0.739027013421524,"no_OM"
"83",-0.0115257308950045,0.339645514235912,0.346539078855852,0.754446419850483,0.74418328807793,-0.663035604681381,0.851384285379059,0.96748908504607,0.344785381588844,1.11691060233766,0.705781602274897,"no_OM"
"93",-0.0111234587982103,0.329659267460617,0.336300570938427,0.728038001389942,0.717879154006204,-0.713461414114127,0.808333632421207,0.909497629899457,0.332834046503809,1.04100579949352,0.673605083804626,"no_OM"
"103",-0.00996772645640176,0.319602822045532,0.325979022548033,0.70170809930835,0.691776036686668,-0.756268374448048,0.768789826324158,0.858452603980773,0.320883785572058,0.975772682877425,0.643330161823421,"no_OM"
"113",-0.00820066730224855,0.309814646345804,0.315900350646178,0.676223343051652,0.666487998997533,-0.79265662613925,0.732560245829648,0.813088027329478,0.309290448087546,0.918991387595947,0.615127406066929,"no_OM"
"123",-0.0059878338660444,0.300461138438015,0.306214024229967,0.651888274868397,0.642391966310621,-0.823848992298307,0.699496972104446,0.77252510509449,0.298224259112897,0.868971152062086,0.5889908373419,"no_OM"
"133",-0.00340711132331917,0.291585777219296,0.297007540904874,0.628869858326824,0.619590945875951,-0.850808045632727,0.669156826235905,0.736050036310812,0.287756539628218,0.824599725946145,0.564807477863068,"no_OM"
"143",-0.000493103411035367,0.28316686262287,0.288311930611374,0.607157705262245,0.598159487216163,-0.874264422939833,0.641341551764635,0.702963724066743,0.27791977471381,0.784787968820291,0.542415619196584,"no_OM"
"153",0.00265250340855094,0.275314760156448,0.280103997963969,0.5868564322769,0.577954555474988,-0.894940456856087,0.615723590964017,0.672889475556897,0.268704886320394,0.748899322195141,0.521679469564251,"no_OM"
"163",0.00605227320958024,0.267835284321838,0.272353610933946,0.567635492022499,0.558963584353644,-0.913470377229364,0.592060057328847,0.64539498570072,0.260093996630928,0.716446544258259,0.502408869088049,"no_OM"
