          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.1108e+00	  8.5746e-03	  4.8364e-04	  1.0012e-02	  2.2206e-03	  1.4432e-06	  2.1361e-02	  1.8204e-03	  5.6889e-04	  9.5469e-04	  6.4424e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1108e+00	  8.5748e-03	  4.8365e-04	  1.0012e-02	  2.2206e-03	  1.4433e-06	  2.1361e-02	  1.8204e-03	  5.6889e-04	  9.5473e-04	  6.4425e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1108e+00	  8.5751e-03	  4.8365e-04	  1.0012e-02	  2.2207e-03	  1.4433e-06	  2.1362e-02	  1.8205e-03	  5.6890e-04	  9.5478e-04	  6.4427e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1108e+00	  8.5753e-03	  4.8366e-04	  1.0012e-02	  2.2207e-03	  1.4434e-06	  2.1363e-02	  1.8206e-03	  5.6890e-04	  9.5482e-04	  6.4429e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1108e+00	  8.5755e-03	  4.8367e-04	  1.0013e-02	  2.2208e-03	  1.4435e-06	  2.1363e-02	  1.8206e-03	  5.6891e-04	  9.5485e-04	  6.4430e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1107e+00	  8.5757e-03	  4.8367e-04	  1.0013e-02	  2.2208e-03	  1.4436e-06	  2.1364e-02	  1.8207e-03	  5.6891e-04	  9.5489e-04	  6.4432e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1107e+00	  8.5759e-03	  4.8368e-04	  1.0013e-02	  2.2209e-03	  1.4436e-06	  2.1365e-02	  1.8208e-03	  5.6892e-04	  9.5493e-04	  6.4434e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1107e+00	  8.5761e-03	  4.8369e-04	  1.0013e-02	  2.2209e-03	  1.4437e-06	  2.1365e-02	  1.8208e-03	  5.6892e-04	  9.5496e-04	  6.4435e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1107e+00	  8.5763e-03	  4.8369e-04	  1.0013e-02	  2.2210e-03	  1.4438e-06	  2.1366e-02	  1.8209e-03	  5.6893e-04	  9.5500e-04	  6.4436e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1107e+00	  8.5764e-03	  4.8370e-04	  1.0014e-02	  2.2210e-03	  1.4438e-06	  2.1366e-02	  1.8210e-03	  5.6893e-04	  9.5503e-04	  6.4438e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
