          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.0062e+00	  4.2287e-01	  7.7594e-03	  5.2826e-02	  2.4730e-02	  7.0276e-05	  4.7157e-01	  4.6728e-02	  4.2795e-04	  2.4949e-02	  9.4335e+04	  9.2803e-02	  1.0359e-01	  4.6374e-03	
  5.9992e+00	  4.3024e-01	  7.8904e-03	  5.3523e-02	  2.5239e-02	  7.1779e-05	  4.7976e-01	  4.7548e-02	  4.2798e-04	  2.5310e-02	  9.5657e+04	  9.2677e-02	  1.0365e-01	  4.7995e-03	
  5.9926e+00	  4.3736e-01	  8.0169e-03	  5.4195e-02	  2.5732e-02	  7.3236e-05	  4.8768e-01	  4.8340e-02	  4.2801e-04	  2.5658e-02	  9.6928e+04	  9.2555e-02	  1.0371e-01	  4.9477e-03	
  5.9864e+00	  4.4424e-01	  8.1391e-03	  5.4841e-02	  2.6211e-02	  7.4647e-05	  4.9532e-01	  4.9104e-02	  4.2805e-04	  2.5993e-02	  9.8150e+04	  9.2437e-02	  1.0377e-01	  5.0831e-03	
  5.9804e+00	  4.5088e-01	  8.2571e-03	  5.5463e-02	  2.6674e-02	  7.6014e-05	  5.0270e-01	  4.9842e-02	  4.2808e-04	  2.6315e-02	  9.9324e+04	  9.2323e-02	  1.0383e-01	  5.2067e-03	
  5.9747e+00	  4.5730e-01	  8.3710e-03	  5.6062e-02	  2.7122e-02	  7.7337e-05	  5.0983e-01	  5.0555e-02	  4.2810e-04	  2.6625e-02	  1.0045e+05	  9.2213e-02	  1.0388e-01	  5.3193e-03	
  5.9692e+00	  4.6349e-01	  8.4811e-03	  5.6639e-02	  2.7557e-02	  7.8617e-05	  5.1671e-01	  5.1243e-02	  4.2813e-04	  2.6923e-02	  1.0154e+05	  9.2107e-02	  1.0393e-01	  5.4219e-03	
  5.9640e+00	  4.6947e-01	  8.5873e-03	  5.7194e-02	  2.7977e-02	  7.9855e-05	  5.2336e-01	  5.1908e-02	  4.2816e-04	  2.7210e-02	  1.0258e+05	  9.2005e-02	  1.0398e-01	  5.5152e-03	
  5.9591e+00	  4.7525e-01	  8.6899e-03	  5.7729e-02	  2.8385e-02	  8.1051e-05	  5.2978e-01	  5.2550e-02	  4.2818e-04	  2.7486e-02	  1.0359e+05	  9.1906e-02	  1.0403e-01	  5.5999e-03	
  5.9544e+00	  4.8082e-01	  8.7890e-03	  5.8245e-02	  2.8779e-02	  8.2206e-05	  5.3598e-01	  5.3170e-02	  4.2821e-04	  2.7751e-02	  1.0456e+05	  9.1811e-02	  1.0408e-01	  5.6766e-03	
  5.9498e+00	  4.8621e-01	  8.8847e-03	  5.8742e-02	  2.9160e-02	  8.3322e-05	  5.4197e-01	  5.3768e-02	  4.2823e-04	  2.8005e-02	  1.0549e+05	  9.1720e-02	  1.0413e-01	  5.7461e-03	
  5.9455e+00	  4.9141e-01	  8.9771e-03	  5.9220e-02	  2.9529e-02	  8.4399e-05	  5.4775e-01	  5.4346e-02	  4.2825e-04	  2.8250e-02	  1.0638e+05	  9.1632e-02	  1.0417e-01	  5.8088e-03	
  5.9414e+00	  4.9643e-01	  9.0663e-03	  5.9681e-02	  2.9887e-02	  8.5438e-05	  5.5333e-01	  5.4904e-02	  4.2827e-04	  2.8485e-02	  1.0724e+05	  9.1548e-02	  1.0421e-01	  5.8652e-03	
