          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.9469e+00	  1.0157e-02	  5.6684e-04	  1.4830e-02	  3.2346e-03	  1.9069e-06	  3.2140e-02	  2.8951e-03	  6.7720e-04	  2.1283e-03	  9.0852e+03	  0.0000e+00	  1.4998e-01	  7.9106e-02	
  6.9460e+00	  1.0168e-02	  5.6718e-04	  1.4847e-02	  3.2384e-03	  1.9115e-06	  3.2184e-02	  2.8996e-03	  6.7752e-04	  2.1317e-03	  9.0957e+03	  0.0000e+00	  1.4998e-01	  7.9071e-02	
  6.9452e+00	  1.0179e-02	  5.6752e-04	  1.4864e-02	  3.2420e-03	  1.9159e-06	  3.2227e-02	  2.9039e-03	  6.7783e-04	  2.1351e-03	  9.1058e+03	  0.0000e+00	  1.4998e-01	  7.9037e-02	
  6.9444e+00	  1.0189e-02	  5.6784e-04	  1.4880e-02	  3.2455e-03	  1.9201e-06	  3.2268e-02	  2.9080e-03	  6.7814e-04	  2.1383e-03	  9.1155e+03	  0.0000e+00	  1.4998e-01	  7.9005e-02	
  6.9436e+00	  1.0199e-02	  5.6815e-04	  1.4895e-02	  3.2489e-03	  1.9242e-06	  3.2308e-02	  2.9120e-03	  6.7843e-04	  2.1414e-03	  9.1249e+03	  0.0000e+00	  1.4998e-01	  7.8973e-02	
  6.9428e+00	  1.0209e-02	  5.6845e-04	  1.4910e-02	  3.2522e-03	  1.9282e-06	  3.2346e-02	  2.9158e-03	  6.7871e-04	  2.1444e-03	  9.1340e+03	  0.0000e+00	  1.4998e-01	  7.8942e-02	
  6.9421e+00	  1.0218e-02	  5.6874e-04	  1.4924e-02	  3.2553e-03	  1.9321e-06	  3.2383e-02	  2.9195e-03	  6.7898e-04	  2.1473e-03	  9.1427e+03	  0.0000e+00	  1.4998e-01	  7.8913e-02	
  6.9414e+00	  1.0227e-02	  5.6902e-04	  1.4938e-02	  3.2584e-03	  1.9358e-06	  3.2419e-02	  2.9231e-03	  6.7924e-04	  2.1501e-03	  9.1512e+03	  0.0000e+00	  1.4998e-01	  7.8884e-02	
  6.9407e+00	  1.0235e-02	  5.6929e-04	  1.4952e-02	  3.2613e-03	  1.9394e-06	  3.2454e-02	  2.9266e-03	  6.7950e-04	  2.1529e-03	  9.1593e+03	  0.0000e+00	  1.4998e-01	  7.8856e-02	
  6.9401e+00	  1.0244e-02	  5.6955e-04	  1.4965e-02	  3.2642e-03	  1.9429e-06	  3.2487e-02	  2.9299e-03	  6.7974e-04	  2.1555e-03	  9.1672e+03	  0.0000e+00	  1.4998e-01	  7.8829e-02	
  6.9394e+00	  1.0252e-02	  5.6981e-04	  1.4977e-02	  3.2669e-03	  1.9462e-06	  3.2519e-02	  2.9332e-03	  6.7998e-04	  2.1580e-03	  9.1748e+03	  0.0000e+00	  1.4998e-01	  7.8804e-02	
  6.9388e+00	  1.0260e-02	  5.7005e-04	  1.4989e-02	  3.2696e-03	  1.9495e-06	  3.2550e-02	  2.9363e-03	  6.8021e-04	  2.1605e-03	  9.1822e+03	  0.0000e+00	  1.4998e-01	  7.8779e-02	
  6.9382e+00	  1.0267e-02	  5.7028e-04	  1.5001e-02	  3.2721e-03	  1.9526e-06	  3.2580e-02	  2.9393e-03	  6.8043e-04	  2.1628e-03	  9.1893e+03	  0.0000e+00	  1.4998e-01	  7.8754e-02	
  6.9377e+00	  1.0274e-02	  5.7051e-04	  1.5012e-02	  3.2746e-03	  1.9557e-06	  3.2609e-02	  2.9422e-03	  6.8064e-04	  2.1651e-03	  9.1961e+03	  0.0000e+00	  1.4998e-01	  7.8731e-02	
  6.9371e+00	  1.0281e-02	  5.7073e-04	  1.5023e-02	  3.2770e-03	  1.9586e-06	  3.2637e-02	  2.9450e-03	  6.8084e-04	  2.1673e-03	  9.2027e+03	  0.0000e+00	  1.4998e-01	  7.8708e-02	
  6.9366e+00	  1.0288e-02	  5.7094e-04	  1.5033e-02	  3.2793e-03	  1.9614e-06	  3.2664e-02	  2.9477e-03	  6.8104e-04	  2.1694e-03	  9.2091e+03	  0.0000e+00	  1.4998e-01	  7.8686e-02	
  6.9361e+00	  1.0295e-02	  5.7115e-04	  1.5043e-02	  3.2815e-03	  1.9642e-06	  3.2690e-02	  2.9503e-03	  6.8123e-04	  2.1715e-03	  9.2153e+03	  0.0000e+00	  1.4998e-01	  7.8665e-02	
  6.9356e+00	  1.0301e-02	  5.7134e-04	  1.5053e-02	  3.2837e-03	  1.9668e-06	  3.2715e-02	  2.9529e-03	  6.8141e-04	  2.1735e-03	  9.2212e+03	  0.0000e+00	  1.4998e-01	  7.8645e-02	
  6.9351e+00	  1.0307e-02	  5.7153e-04	  1.5063e-02	  3.2857e-03	  1.9694e-06	  3.2740e-02	  2.9553e-03	  6.8159e-04	  2.1754e-03	  9.2270e+03	  0.0000e+00	  1.4998e-01	  7.8625e-02	
  6.9346e+00	  1.0313e-02	  5.7172e-04	  1.5072e-02	  3.2877e-03	  1.9718e-06	  3.2763e-02	  2.9577e-03	  6.8176e-04	  2.1773e-03	  9.2325e+03	  0.0000e+00	  1.4998e-01	  7.8606e-02	
  6.9342e+00	  1.0319e-02	  5.7189e-04	  1.5081e-02	  3.2897e-03	  1.9742e-06	  3.2786e-02	  2.9599e-03	  6.8193e-04	  2.1790e-03	  9.2379e+03	  0.0000e+00	  1.4998e-01	  7.8587e-02	
